#separator:tab
#html:true
#columns:Front	Back	Tags
【第102回 問1】物理・分析の基礎・バリデーション<br><br>次の関係式のうち、正しいのはどれか。1つ選べ。<br><br>1. 1kHz ＝ 1× 10□Hz<br>2. 1nm ＝ 1× 10□□m<br>3. 1ppm ＝ 1× 10□□％<br>4. 1μg ＝ 1× 10□□g<br>5. 1w/v％ ＝ 1× 10□g/L	<b>正答：2</b><br>1nm ＝ 1× 10□□m<br><br>テーマ：分析の基礎・バリデーション（10年10問・6/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::分析の基礎_バリデーション 第102回
【第102回 問2】物理・電気化学・分子間相互作用　📐図・構造式<br><br>陽イオン、陰イオンが水和している状態を最も適切に表しているのはどれか。1つ選べ。 H H O H H O 陽イオン O H H O O H H O H H H H H O H H O H H H O 陰イオン H H O O H H O H H H O H H O H H H O H H O O H H O H H H O H H O H H H O H O H H O H H H O<br><br>※図・構造式が必要な問題です	<b>正答：2</b><br><br>テーマ：電気化学・分子間相互作用（10年7問・5/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::電気化学_分子間相互作用 第102回 flag::図
【第102回 問3】物理・放射化学<br><br>α壊変により放出される α粒子はどの元素の原子核に相当するか。1つ選べ。<br><br>1. □H<br>2. □He<br>3. □Li<br>4. □□B<br>5. □□C □ 1□	<b>正答：2</b><br>□He<br><br>テーマ：放射化学（10年4問・3/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::放射化学 第102回
【第102回 問4】物理・容量分析・日局一般試験法　🔢計算<br><br>日本薬局方において、容量分析用標準液のファクター f は、通例どの範囲にあるように調製されるか。1つ選べ。<br><br>1. 0.850〜1.150<br>2. 0.900〜1.100<br>3. 0.950〜1.050<br>4. 0.970〜1.030<br>5. 0.990〜1.010	<b>正答：4</b><br>0.970〜1.030<br><br>テーマ：容量分析・日局一般試験法（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::容量分析_日局一般試験法 第102回 flag::計算
【第102回 問5】物理・反応速度論<br><br>酵素反応速度を表す式はどれか。1つ選べ。<br><br>1. ミカエリス・メンテンの式<br>2. ファントホッフの式<br>3. ヤングの式<br>4. ブラッグの式<br>5. ストークスの式	<b>正答：1</b><br>ミカエリス・メンテンの式<br><br>テーマ：反応速度論（10年2問・2/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::反応速度論 第102回
【第102回 問6】化学・未分類　📐図・構造式<br><br>シスプラチン（(SP-4-2)-Diamminedichloroplatinum）はどれか。1つ選べ。 Cl OH2 Pt Cl OH2 Cl NH3 Pt Cl NH3 HO H2 N Pt HO N H2 Cl NH3 Pt H3N Cl HO NH3 Pt OH H3N □ 2□<br><br>※図・構造式が必要な問題です	<b>正答：1</b><br><br>テーマ：未分類（10年6問・6/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::未分類 第102回 flag::図
【第102回 問7】化学・立体化学　📐図・構造式<br><br>キラルな化合物はどれか。1つ選べ。 Br Cl Br Br Br H Br H Br H Br H Br H H Br<br><br>※図・構造式が必要な問題です	<b>正答：4</b><br><br>テーマ：立体化学（10年7問・7/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::立体化学 第102回 flag::図
【第102回 問8】化学・有機反応　📐図・構造式<br><br>ラジカル中間体を経る反応はどれか。1つ選べ。 H3C CH3 OH CH3 HBr H3C CH3 Br CH3 H3C CH3 Cl CH3 NaOH H2C CH3 CH3 O Br N O 光照射 NaOH CH3 H3C l ＋ O O CH3 CH2 CH2Br H3C OH O O CH3 □ 3□<br><br>※図・構造式が必要な問題です	<b>正答：3</b><br><br>テーマ：有機反応（10年6問・5/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::有機反応 第102回 flag::図
【第102回 問9】化学・医薬品の構造　📐図・構造式<br><br>オゾン（O□）の構造式として最もふさわしいのはどれか。1つ選べ。 O ＋ O − O ＋ O O − O O O O − O O − O O O O<br><br>※図・構造式が必要な問題です	<b>正答：1</b><br><br>テーマ：医薬品の構造（10年4問・4/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::医薬品の構造 第102回 flag::図
【第102回 問10】化学・酸塩基性・官能基　📐図・構造式<br><br>次のアミノ酸のうち、破線で囲んだ部分の塩基性が最も強いのはどれか。1つ選べ。 HO2C CO2H H NH2 NH H H2N N CO2H H NH2 O H2N CO2H H NH2 N H CO2H H NH2 N CO2H H NH2 N H □ 4□<br><br>※図・構造式が必要な問題です	<b>正答：2</b><br><br>テーマ：酸塩基性・官能基（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::酸塩基性_官能基 第102回 flag::図
【第102回 問11】生物・人体の構造と機能　📐図・構造式<br><br>下図はヒトの消化器系の模式図である。１〜５のうち、直腸はどれか。1つ選べ。肝臓胆のう膵臓肛門<br><br>※図・構造式が必要な問題です	<b>正答：5</b><br><br>テーマ：人体の構造と機能（10年13問・8/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::人体の構造と機能 第102回 flag::図
