回,問番号,科目,テーマ,テーマ出題数_10年,テーマ出題回数_10年,設問形式,計算問題,図構造式,選択肢数,問題文字数,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正答,正答率,類題
102,1,物理,分析の基礎・バリデーション,10,6,肯定形,,,5,23,次の関係式のうち、正しいのはどれか。1つ選べ。,1kHz ＝ 1× 10□Hz,1nm ＝ 1× 10□□m,1ppm ＝ 1× 10□□％,1μg ＝ 1× 10□□g,1w/v％ ＝ 1× 10□g/L,2,,103-5 105-1 105-3 105-4 106-2 106-3 108-3 108-5 111-5
102,2,物理,電気化学・分子間相互作用,7,5,肯定形,,○,,194,陽イオン、陰イオンが水和している状態を最も適切に表しているのはどれか。1つ選べ。 H H O H H O 陽イオン O H H O O H H O H H H H H O H H O H H H O 陰イオン H H O O H H O H H H O H H O H H H O H H O O H H O H H H O H H O H H H O H O H H O H H H O,,,,,,2,,104-4 106-4 106-5 109-1 109-2 110-1
102,3,物理,放射化学,4,3,肯定形,,,5,36,α壊変により放出される α粒子はどの元素の原子核に相当するか。1つ選べ。,□H,□He,□Li,□□B,□□C □ 1□,2,,104-1 104-5 109-3
102,4,物理,容量分析・日局一般試験法,5,5,肯定形,○,,5,53,日本薬局方において、容量分析用標準液のファクター f は、通例どの範囲にあるように調製されるか。1つ選べ。,0.850〜1.150,0.900〜1.100,0.950〜1.050,0.970〜1.030,0.990〜1.010,4,,104-2 105-2 106-1 108-4
102,5,物理,反応速度論,2,2,肯定形,,,5,20,酵素反応速度を表す式はどれか。1つ選べ。,ミカエリス・メンテンの式,ファントホッフの式,ヤングの式,ブラッグの式,ストークスの式,1,,111-3
102,6,化学,未分類,6,6,肯定形,,○,,143,シスプラチン（(SP-4-2)-Diamminedichloroplatinum）はどれか。1つ選べ。 Cl OH2 Pt Cl OH2 Cl NH3 Pt Cl NH3 HO H2 N Pt HO N H2 Cl NH3 Pt H3N Cl HO NH3 Pt OH H3N □ 2□,,,,,,1,,104-10 106-6 108-7 109-8 110-9
102,7,化学,立体化学,7,7,肯定形,,○,,59,キラルな化合物はどれか。1つ選べ。 Br Cl Br Br Br H Br H Br H Br H Br H H Br,,,,,,4,,103-7 104-8 105-9 106-8 107-8 108-9
102,8,化学,有機反応,6,5,肯定形,,○,,156,ラジカル中間体を経る反応はどれか。1つ選べ。 H3C CH3 OH CH3 HBr H3C CH3 Br CH3 H3C CH3 Cl CH3 NaOH H2C CH3 CH3 O Br N O 光照射 NaOH CH3 H3C l ＋ O O CH3 CH2 CH2Br H3C OH O O CH3 □ 3□,,,,,,3,,105-6 106-7 106-9 109-9 111-7
102,9,化学,医薬品の構造,4,4,肯定形,,○,,74,オゾン（O□）の構造式として最もふさわしいのはどれか。1つ選べ。 O ＋ O − O ＋ O O − O O O O − O O − O O O O,,,,,,1,,103-6 105-8 108-6
102,10,化学,酸塩基性・官能基,5,5,肯定形,,○,,130,次のアミノ酸のうち、破線で囲んだ部分の塩基性が最も強いのはどれか。1つ選べ。 HO2C CO2H H NH2 NH H H2N N CO2H H NH2 O H2N CO2H H NH2 N H CO2H H NH2 N CO2H H NH2 N H □ 4□,,,,,,2,,103-10 104-7 110-8 111-6
102,11,生物,人体の構造と機能,13,8,肯定形,,○,,46,下図はヒトの消化器系の模式図である。１〜５のうち、直腸はどれか。1つ選べ。肝臓胆のう膵臓肛門,,,,,,5,,103-11 104-11 104-12 105-11 105-14 108-11 108-12 109-11 109-12 109-14 110-11 111-11
102,12,生物,未分類,6,5,肯定形,,,,75,ω６系列（n-6系列）の脂肪酸はどれか。1つ選べ。 H3C H3C H3C H3C H3C CO2H CO2H CO2H CO2H CO2H □ 5□,,,,,,4,,103-12 105-12 106-11 106-13 110-12
102,13,生物,遺伝子・分子生物学,10,6,肯定形,,,5,54,真核細胞での mRNA のプロセシングによる成熟過程において、イントロンの除去に関わるのはどれか。1つ選べ。,スプライソソーム,ヌクレオソーム,オートファゴソーム,プロテアソーム,リソソーム,1,,103-13 104-13 104-14 107-13 107-14 110-13 110-14 110-15 111-15
